rainfall,soil_moisture,slope,elevation,landslide
20,35,8,100,0
35,40,10,150,0
50,45,12,200,0
70,50,15,300,0
90,55,18,500,1
110,60,20,700,1
130,65,22,900,1
150,70,25,1100,1
170,75,28,1300,1
190,80,30,1500,1
30,30,5,100,0
45,38,9,200,0
60,42,11,300,0
80,48,14,400,0
100,58,19,600,1
120,63,21,800,1
140,68,24,1000,1
160,73,27,1200,1
180,78,29,1400,1
200,85,32,1600,1
25,32,7,120,0
40,36,9,180,0
55,44,13,250,0
75,49,16,350,0
95,57,18,550,1
115,62,21,750,1
135,67,23,950,1
155,72,26,1150,1
175,77,29,1350,1
195,83,31,1550,1
